grammar	grammar      usage    meaning   ex1_ja  ex1_en    ex2_ja  ex2_en                     Note:  note
～です	～です      ～が～です。 ～は～です。    ～ is/am/are ～   これは私わたしの携帯けいたいです。  This is my phone.    彼かれのお姉ねえさんは20歳はたちです。  His older sister is 20 years old.
も	も         too; also   来月らいげつのライブに行いきたい！僕ぼくも行いきたい！  I want to go to the concert next month. I also want to go.    うどんが好すきです。ラーメンも好すきです。  I like ramen. I also like udon.
で	で         marks the place where an action takes place. Marks the means by which you do something.   食堂しょくどうで昼ひるご飯はんを食たべました。  I ate lunch at the cafeteria    電車でんしゃで学校がっこうに行いきます。  I go to school by train.
～に/へ行いく ～に/へ来くる	～に/へ行いく ～に/へ来くる      Placeに/へ行く Placeに/へ来る    go to ～ come to ～   駅えきに行いきます。  I will go the the station.    明日あした友達ともだちの家いえへ行いきます。  I will go to my friend’s house tomorrow.
～に乗のる ～を降おりる	～に乗のる ～を降おりる         ride on ～; get on ～ Get off ～   渋谷しぶやから電車でんしゃに乗のる。  I will ride the train from Shibuya.    駅えきでバスを降おりてください。  Please get off the bus at the station.
～に上あげる ～にもらう	～に上あげる ～にもらう         give to ～ Receive from ～   子供こどもに本ほんを上あげました。  I gave the book to the child.    友達ともだちにプレゼントをもらいました。  I received a present from my friend.
Timeに	Timeに         at, during, etc.   7時じに起おきました。  I woke up at 7:00.    冬ふゆに雪ゆきが降ふります。  It snows during winter.
を	を         marks the direct object   中華ちゅうか料理りょうりを食たべましょう！  Let’s eat chinese food!    金曜日きんようびまでにレポートを出だしてください。  Please turn in your report by Friday.
～ませんか？	～ませんか？         Won't you ～?  the speaker is making an invitation to ～   一緒いっしょに映画えいがを見みに行いきませんか？  Won’t you go see a movie together?    この後あと食事しょくじに行いかない？  Want to go have a meal after this?                     Note:  Can be used to make an invitation.
は	は         marks the subject   宿題しゅくだいは明日あしたまでに出だしてください。  As for your homework, please turn it in by tomorrow.
～があります	～があります      （Placeに）～があります    ～ exists.  There is ～ (at/on/in ～).   机つくえの上うえにペンがあります。  There is a pen on the desk.    どこにりんごがありますか？  Where are the apples?                     Note:  Used for non-living objects.
～がいます	～がいます      （Placeに）～がいます    ～ exists.  There is ～ (at/on/in ～).   母ははが家いえにいます。  My mother is at home.    さっき教室きょうしつにジョンがいました。  John was in the classroom a little while ago.                     Note:  Used for living objects.
～と～	～と～         ～ and ～   トムとジョンが教室きょうしつにいます。  Tom and John are in the classroom.    昼ひるご飯はんにパンと肉にくを食たべました。  I ate bread and meat for lunch.
～と	～と         with ～   友達ともだちと映画えいがを見みます。  I will see the movie with a friend.    彼かれと一緒いっしょにコーヒーを飲のみます。  I will drink coffee with him.     彼女かのじょと話はなすのは楽たのしい。  It's fun to talk with her.     この本ほんとあの本ほんは同おなじです。  This book and that book are the same.     日本にほんに行いくと、桜さくらが見みられます。  If you go to Japan, you can see cherry blossoms.     駅えきに着ついたとき、雨あめが降ふっていました。  When I arrived at the station, it was raining.     あなたと会あうのを楽たのしみにしています。  I am looking forward to meeting you.     彼かれと一緒いっしょに勉強べんきょうします。  I study with him.     友達ともだちと旅行りょこうするのは楽たのしい。  Traveling with friends is fun.     彼かれと約束やくそくしたことを忘わすれないでください。  Please don’t forget the promise you made with him.
～ましょう	～ましょう      V-Stemましょう    I’ll ～.  Let’s ～.  Polite volitional form of the verb.   あのレストランで晩ばんご飯はんを食たべましょうか？  Shall we have dinner at that restaurant?    これが終おわってから、休憩きゅうけいしましょう。  Let’s take a break after this is done.                     Note:  Add “か？” to make a question (Shall we ~?)
～てください	～てください      V-てください    Please ～.   あそこで待まってください。  Please wait over there.    空港くうこうに着ついたら、連絡れんらくしてください。  Please contact me when you arrive at the airport.
～ないでください	～ないでください      V-ないでください    Please do not ～   熱あついから触さわらないでください。  It is hot so please do not touch it.    ちょうど8時じに始はじめるので、遅おくれないでください。  We will start exactly at 8:00, so don’t be late.
～てもいいです	～てもいいです      V-てもいいです    it's fine even if, it's ok even if, it's also okay   この牛乳ぎゅうにゅうを飲のんでもいいですか？  May I drink this milk?    試験しけんでノートを見みてもいいです。  You may look at your notes during the test.                     Note:  Add “か？” to make a question:  May I ～?
～てはいけません	～てはいけません      V-てはいけません    You must not ～   ここに車くるまを止とめてはいけません。  You must not park your car here.    ゴミをポイ捨すてはいけません。  You must not litter.
～から～まで	～から～まで         From ～ to ～   金曜日きんようびの仕事しごとは9時じから18時じまでです。  Work on Friday is from 9:00 to 18:00.    毎日まいにち学校がっこうは8時半じはんからです。  School is from 8:30 everyday.                     Note:  You can leave off either から or まで
～ている	～ている      V-ている    ～ing.  Progressive form of a verb.   今いま妹いもうとが勉強べんきょうしています。  My younger sister is studying now.    ジョンが電話でんわで話はなしているので、終おわるまで待まちましょう。  Jon is talking on the phone now, so let’s wait until he’s done.     ここにいる。  I am here. (ongoing state)     今いま、本ほんを読よんでいる。  I am reading a book right now.     彼かれは毎日まいにち ジムに通かよっている。  He goes to the gym every day.     この店みせは最近さいきん改装かいそうしている。   This store has been renovated recently.     私わたしはその映画えいがを もう見みている。   I have already seen that movie.     彼女かのじょは新しいあたらしい仕事しごとを探さがしている。   She is looking for a new job.     その店みせでは美味おいしい料理りょうりを提供ていきょうしている。   That restaurant serves delicious food.     彼かれは毎朝まいあさコーヒーを飲のんでいる。       He drinks coffee every morning.
～に行いく ～に来くる	～に行いく ～に来くる      V-Stemに行く V-Stemに来る    To go ～ To come ～   卵たまごを買かいに行いくね。  I will go and buy eggs.    家いえに遊あそびに来くる？  Will you come to play at my place?
～のが好すきです。	～のが好すきです。      V-るのが好きです。    I like ～   服ふくを買かうのが好すきです。  I like to buy clothes.    どんな食たべ物ものが好すきですか？辛からいのが好すきです。  What kind of food do you like? I like spicy food.                     Note:  Hint: ～の is a way to create a noun-phrase.  You can generally use any modifier (adj., v., etc.) before の.
～のが上手じょうずです。 ～のが下手へたです。	～のが上手じょうずです。 ～のが下手へたです。      V-るのが上手です。 V-るのが下手です。    I am good/skillful at ～ I am bad/unskillful at ～   日本語にほんごを読よむのが下手へたです。  I am not good at reading Japanese.    ジョンは映画えいがを作つくるのが上手じょうずです。  John is good at making movies.
まだ～ていません	まだ～ていません      まだV-ていません    Still have not ～   まだレポートを書かいていない。  I still haven’t written the report.    まだジョンは銀行ぎんこうに行いっていません。  John still has not gone to the bank.
～の方ほうが～より～です	～の方ほうが～より～です         ～ is more ～ than ～   この時計とけいの方ほうがその時計とけいより高たかいです。  This watch is more expensive than that one.    ジョンの方ほうは英語えいごが上手じょうずです。  Jon is better at English.                     Note:  Possible to leave off the ～より
～の中なかで～が一番いちばん～です	～の中なかで～が一番いちばん～です         Out of ～, ～ is the most ～   東京とうきょうの中なかでこのラーメンが一番いちばん美味おいしいです。  This ramen is the most delicious in Tokyo.    あのチームの中なかで田中たなかさんが一番いちばん速はやいです。  Out of that team, Tanaka is the fastest.
～つもりです	～つもりです         Intend to ～   来週らいしゅう新あたらしい映画えいがを見みに行いくつもりです。  I intend to go and see the new movie next week.    図書館としょかんに借かりた本ほんが終おわったから、明日あした返かえすつもりです。  I finished the book I borrowed from the library, so I intend to return it tomorrow.
～になる ～くなる	～になる ～くなる      na-adjになる i-adjくなる    To become ～   6月がつから暑あつくなるよ。  It will become hot from June.    ジョンよりベースボールが上手じょうずになりたい。  I want to become better than John at baseball.     大人おとなになると、責任せきにんが増ふえる。  When you become an adult, responsibilities increase.     彼かれは医者いしゃになるために勉強べんきょうしている。  He is studying to become a doctor.     夏なつになると、海うみに行いきたくなる。  When it becomes summer, I want to go to the sea.     この町まちはもっと大おおきくなるだろう。  This town will likely become bigger.     天気てんきが暖あたたかくなってきた。  The weather has become warmer.     彼かれの英語えいごが上手じょうずくなった。  His English has become better.     彼女かのじょは落おち着ついた人ひとになった。  She has become a calm person.     色いろが明あかるくなった。  The color has become brighter.
～たいです	～たいです      V-Stemたいです    Want to ～   フランス料理りょうりが食たべたいです。  I want to eat French food.    父ちちは新あたらしいテレビが買かいたいです。  My father wants to buy a new TV.
～たり～たりする	～たり～たりする      V-たり、V-たりする    Doing things like ～ and ～   休やすみの日ひに本ほんを読よんだり、喫茶店きっさてんに行いったりします。  On my days off, I do things like read and go to coffee shops.    本ほんを読よんだり、テレビを見みたりするのが好すきです。  I like doing things like reading books and watching TV.
～たことがあります	～たことがあります      V-たことがあります    Have done ～   この曲きょくを聞きいたことがあります。  I have heard this song.    彼かれはヨーロッパに行いったことがないです。  He has never been to Europe.
